//Plik zARC (łuki sieci):
//Id- unikalny numer łuku
//Pocz – numer węzła początkowego łuku
//Konc – numer węzła końcowego łuku
//Typ: TRANSFORMER lub LINE lub SWITCH
//Pozycja – identyfikator pozycji łuku w odpowiednim katalogu
//Dlugosc – długość łuku w [m], dla TRANSFORMER i SWITCH = 0
//Tory – liczba torów równoległych, dla TRANSFORMER i SWITCH = 0
//Stan – 1 – czynny, 0 – nieczynny
//Zmiana – wpisujemy wartość 2
Id|Pocz|Konc|Typ|Pozycja|Dlugosc|Tory|Stan|Zmiana|
501|0|1|LINE|8|10|1|0|2
502|0|2|LINE|8|10|1|0|2
1|1|3|LINE|8|7000|1|1|2
2|2|4|LINE|8|9000|1|1|2
11|3|11|LINE|1|76.28|1|1|2
12|3|12|LINE|1|325.9|1|1|2
13|3|13|LINE|1|756.58|1|1|2
14|3|14|LINE|1|692.82|1|1|2
21|4|21|LINE|1|76.28|1|1|2
23|4|23|LINE|1|756.58|1|1|2
5|11|100|TRANSFORMER|10|0|0|1|2
6|21|100|TRANSFORMER|10|0|0|0|2
7|12|200|TRANSFORMER|20|0|0|1|2
8|13|300|TRANSFORMER|10|0|0|1|2
9|23|300|TRANSFORMER|10|0|0|0|2
10|14|400|TRANSFORMER|10|0|0|1|2
101|100|101|LINE|2|22.046|1|1|2
102|100|102|LINE|2|46.4167|1|1|2
103|100|103|LINE|2|95.0732|1|1|2
104|103|104|LINE|2|88.9553|1|1|2
105|100|105|LINE|2|213.7428|1|1|2
106|105|106|LINE|2|88.9553|1|1|2
107|100|107|LINE|2|271.4925|1|1|2
110|104|106|LINE|2|50.0|1|1|2
201|200|201|LINE|3|76.9468|1|1|2
202|201|202|LINE|3|76.9468|1|1|2
203|200|203|LINE|3|45.38|1|1|2
204|203|204|LINE|3|96.18|1|1|2
205|200|205|LINE|3|126.788|1|1|2
206|205|206|LINE|3|96.1879|1|1|2
207|200|207|LINE|3|101.58|1|1|2
208|207|208|LINE|3|110.69|1|1|2
209|200|209|LINE|3|273.462|1|1|2
210|209|210|LINE|3|36.35|1|1|2
211|210|211|LINE|3|37.62|1|1|2
220|202|211|LINE|3|25.0|1|1|2
301|300|301|LINE|2|51.59|1|1|2
302|301|302|LINE|2|48.255|1|1|2
303|300|303|LINE|2|71.739|1|1|2
304|300|304|LINE|2|125.10|1|1|2
305|300|305|LINE|2|145.37|1|1|2
306|305|306|LINE|2|39.61|1|1|2
307|306|307|LINE|2|104.99|1|1|2
310|302|307|LINE|3|50.0|1|1|2
401|400|401|LINE|2|84.73|1|1|2
402|400|402|LINE|2|45.09|1|1|2
403|400|403|LINE|2|11.40|1|1|2
404|403|404|LINE|2|31.99|1|1|2
405|400|405|LINE|2|147.57|1|1|2
406|405|406|LINE|2|71.86|1|1|2
407|406|407|LINE|2|71.86|1|1|2
410|404|407|LINE|2|50.0|1|1|2
